number,value,best value
167,3.570027857844035,
168,1.3018490430514018,
169,1.3260959475835163,
170,1.6004238305091858,
171,2.7978244247436526,
172,1.6308872577031452,
173,1.4347509510358174,
174,1.572485724258423,
175,1.4633345823287964,
176,1.3501323987325033,
177,1.3302232332229613,
178,1.288793984413147,
179,1.3053742373784383,
180,1.8077459254582724,
181,1.4070076988855997,
182,1.209984091091156,
183,1.3286675952593485,
184,1.3145069518725077,
185,1.3895959391911825,
186,1.186061448510488,
187,1.440292946879069,
188,1.2568589243888855,
189,2.721960801378886,
190,1.3411518736521404,
192,1.4502877361297608,
193,1.3113972881952922,
194,1.5198993539174397,
195,1.342836360613505,
196,1.354461676534017,
197,1.5569551111221314,
198,5.54521181119283,
199,1.4456964719454448,
200,3.612264163462321,
201,1.8278964612325033,
202,1.188560612297058,
203,1.332674969768524,
204,1.398380753135681,
205,1.4273538284301759,
206,4.580179242070516,
207,1.5160031034469605,
208,1.4388533063570659,
209,2.8182288572311402,
210,1.3448599328041078,
211,1.3121686400095622,
212,1.2954473520914713,
213,1.359173675664266,
214,1.4115565463066102,
215,1.3653045242945354,
216,1.3408418796221415,
217,1.307693818505605,
218,1.8976454453786213,
219,3.0761687668482462,
220,1.5471754111289977,
221,1.1737786336898803,
222,1.4990972596168517,
223,1.496998075803121,
224,1.5612693389256795,
225,1.3215840482711791,
226,5.1333468542099,
227,1.5653418296496073,
228,2.8596227332433064,
229,1.2824177883148193,
230,1.3769122515996297,
232,1.4174261067708334,
233,1.6919701650619507,
234,1.3593514903386434,
235,1.7833272347132365,
236,4.642097227160136,
237,1.40383851741155,
238,13.807912286376952,
239,1.425438861878713,
240,1.3706927892684937,
241,1.2505908466974893,
242,1.5993717466990154,
243,1.2554662213961283,
244,1.3521398487408955,
245,1.8203304232915243,
246,3.469622688039144,
247,1.581703422609965,
248,2.0291893772125245,
249,1.8963904916127523,
250,2.803776808166504,
251,1.3556266621907551,
252,1.8524608330408732,
253,1.4500923024813335,
254,1.2991047445615134,
255,1.9652997269948325,
256,1.3194372709592184,
257,4.518872981325785,
258,2.0624714818954466,
259,1.4589032460212707,
260,2.4183010260264077,
261,1.3114222637494406,
262,3.1079760646820067,
263,1.3741991307576498,
264,1.1986252949078877,
265,1.3269905111630758,
266,1.0954612758000692,1.0954612758000692
268,1.2446651006062825,
269,1.1706747153600057,
270,1.1847838718414307,
271,1.3672673365275065,
272,1.2349365694681804,
273,3.01546902885437,
274,1.2796796158472696,
275,1.1725893047014873,
276,1.3348658997217815,
277,1.3784022338231405,
278,13.628698119608561,
279,1.1947417380332948,
280,1.2112738042831421,
281,1.2500349097569783,
282,1.392675574016571,
283,3.2049367564519247,
284,1.5305569012641906,
285,1.3436086598714192,
286,1.2103125684738159,
287,1.297049261601766,
288,1.2684341467539468,
289,1.348645145479838,
290,1.3507422099113464,
291,1.5037762097358705,
293,1.2945713563283285,
294,1.2439465720176697,
295,5.396071556727091,
296,1.5199515341440837,
297,3.1285903055826823,
298,1.1956213886260987,
299,7.820335643641154,
